,PLOT_ID,REBURN,reb,reburn,EAST.WEST,needle,prop_Kba,prop_Kstem,prop_meanbolescorch,prop_meancharht,prop_surfcharmean,meandeepchar,PlotCBI_mean,prop_lccloss,RDNBR_SINGLE,RBR,DNBR,RDNBR
46,JONE5,NO,0,non reburn,W,2.33,0.096863587,0.48,0.87,0.14,0.26,0.22,1.692,0,43.5,21.5,37.5,46.23579625
47,JONE6,NO,0,non reburn,W,0.55,0.195018822,0.65957447,0.95,0.07,0.14,0,1.4375,0,87.2,43.4,79.8,137.7966351
48,JONE7,NO,0,non reburn,W,2.21,0.174201471,0.54545455,0.99,0.05,0.26,0,1.527,0,115.8,57.2,99.6,98.84031125
49,JONE8,NO,0,non reburn,W,5.95,1,1,1,0.63,0.14,0.05,2.427,1,927.3,457.4,788.7,899.4502546
50,JONE9,NO,0,non reburn,W,6,0.998719758,0.96428571,1,0.11,0.23,0,2.264,0.760584196,458.3,226.7,397,432.2768619
63,JONEUNB2,NO,0,non reburn,W,0,0,0,0,0,0,0,0,0,2.3,1.1,2,12.03664134
64,JONEUNB3,NO,0,non reburn,W,0,0,0,0,0,0,0,0,0,-17.1,-8.5,-15.2,-3.305236219
65,JONEUNB4,NO,0,non reburn,W,0,0,0,0,0,0,0,0,0,-46.7,-23.1,-40.6,-42.83480617
66,JONEUNB5,NO,0,non reburn,W,0,0,0,0,0,0,0,0,0,-34.3,-16.9,-29.8,-46.5511197
67,JONEUNB6,NO,0,non reburn,W,0,0,0,0,0,0,0,0,0,-8.8,-4.4,-7.8,4.829888561
68,LIBE1,NO,0,non reburn,E,6,1,1,1,1,0.85,0,2.91,1,1184.1,487.6,630.1,1155.680145
73,LIBEREB5,No,0,non reburn,E,6.32,1,1,1,1,0.9,0.47,2.973,1,1218.3,557.6,802.5,1111.310752
75,LIBEUNB1,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,36.5,17.1,25.5,-0.567662899
76,LIBEUNB2,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,-5.8,-2.1,-1.6,21.48621698
77,LOLO1,NO,0,non reburn,E,6.05,1,1,1,1,0.81,0.05,2.826,1,1291.1,617.6,958.8,1188.362838
78,LOLO10,NO,0,non reburn,E,4.9,1,1,1,0.24,0.26,0.15,2.152,0.931925474,694,326.7,490,506.7183141
79,LOLO11,NO,0,non reburn,E,6,1,1,1,0.99,0.39,0.15,2.679,1,1328.2,628.3,952.2,976.4084997
80,LOLO12,NO,0,non reburn,E,5.95,1,1,0.86,0.51,0.28,0.3,2.275,0.976045935,859.8,398.5,581.5,398.658277
81,LOLO13,NO,0,non reburn,E,4.8,0.97397698,0.97777778,0.98,0.35,0.15,0.15,2.291,0.967453568,807.6,376.3,556.2,657.7831804
82,LOLO14,NO,0,non reburn,E,0,0.168388122,0.38596491,0.55,0.02,0.25,0,1.02125,0,580.6,274.7,416.3,298.2403989
83,LOLO15,NO,0,non reburn,E,6.05,1,1,1,1,0.9,0.2,2.965,1,1451.8,699.4,1106.3,1197.340411
